HDI Rank,Country,1995,2000,2005,2010,2011,2012,2013
80, Jordan,36.1,36.2,34.6,37.1,36.5,36.2,36.3
56, Kazakhstan,61.8,61.2,64,67.4,68,68.4,68.7
145, Kenya,64.6,61.5,58.9,60.3,60.6,60.9,61.1
.., Korea (Democratic People's Rep. of),79.5,77.3,75.9,74.7,74.6,74.5,74.4
17, Korea (Republic of),60.4,58.3,59.3,58.1,58.5,58.9,59.1
48, Kuwait,66.1,67.1,66.5,66.4,65.4,65.8,66.3
120, Kyrgyzstan,60.2,60,59.5,60.6,61,61.4,62
141, Lao People's Democratic Republic,78.9,78.4,77.4,76.5,76.5,76.6,76.6
46, Latvia,53.4,48.1,52.7,47.9,49.3,51.2,53.8
67, Lebanon,39.9,40.4,42.4,43.8,44,44.3,44.4
161, Lesotho,50.4,46.5,43.4,49.4,48.5,50,49.7
177, Liberia,57.9,57.9,57.6,58.9,59.1,59.2,59.3
94, Libya,39.8,41.3,42.5,43.3,43.6,42.7,42.6
37, Lithuania,52.3,50.6,51.9,48.3,50.7,52.6,53.8
19, Luxembourg,48.8,52.1,52.3,54.5,54,54.8,54.2
154, Madagascar,83.6,84.5,84.4,85.8,85.7,85.5,85.4
173, Malawi,71.7,73.2,76.2,76.8,76.8,76.7,76.7
62, Malaysia,59.8,60.9,58.7,57.1,57.3,57.5,57.5
104, Maldives,46.3,48.8,54,58,58.5,59.1,59.1
179, Mali,46.1,46.7,49.3,60.4,60.5,60.6,60.6
37, Malta,47.3,47.6,45.7,47.3,48.1,48.8,48.6
156, Mauritania,32.9,34,35.4,36.9,37,37.1,37.2
63, Mauritius,54.3,55.3,53,54.2,54,53.5,53.7
74, Mexico,55.3,58.1,57.7,58,57.1,58.5,58.5
107, Moldova (Republic of),60,54.8,45.1,38,38.8,37.7,38.6
90, Mongolia,55.6,57.1,56.1,57.3,58.8,59.1,59.8
49, Montenegro,42.9,41.4,41.1,40.8,39.3,40.2,40.1
126, Morocco,47.6,46.3,46.5,45.5,45.7,45.8,45.9
180, Mozambique,76.5,78.1,78.4,77.6,77.5,77.4,77.2
148, Myanmar,73.2,74,75.1,75.7,75.8,75.9,75.9
126, Namibia,45.1,45,48.9,47.7,48,48.8,49
145, Nepal,83.4,83.6,82.4,81.3,81.2,81.1,81.1
5, Netherlands,54.3,61.2,61.5,61.7,61.5,61.3,60.1
9, New Zealand,60.1,60.8,64.7,63.3,63.6,63.1,63.6
125, Nicaragua,56.6,56.2,58.1,57.6,58,58.2,58.8
188, Niger,56.3,59.5,61.3,61.4,61.4,61.4,61.4
152, Nigeria,52.5,51.7,50.7,51.4,51.6,51.7,51.8
1, Norway,59.5,63.9,62.3,63.3,63.2,63.4,62.6
52, Oman,55.7,50.5,50.7,54.9,56.7,58.4,59.9
147, Pakistan,46.7,47.3,48.8,51.3,51.4,51.5,51.6
113," Palestine, State of",32.3,32.8,30.3,31.1,32.3,31.6,31.6
60, Panama,53.7,54.9,58.3,61.2,62.6,62.9,62.8
158, Papua New Guinea,68.6,70.1,70.9,70.6,70.6,70.5,70.7
112, Paraguay,71.1,63.8,66.2,65.9,67,66.7,66.6
84, Peru,62.6,65.7,64.8,72.9,73.1,73.4,73.3
115, Philippines,61,57.9,59.8,60,60.7,60.7,60.6
36, Poland,50.7,47,45,50.6,50.8,50.8,50.7
43, Portugal,54.1,58.5,57.3,55.2,53.6,51.5,50.4
32, Qatar,79.7,74.8,79.1,86,86.1,86.3,86.2
52, Romania,57.8,60.3,51.1,52,51.6,52.4,52.4
50, Russian Federation,54.8,54.2,57.5,58.4,59.3,60,60.1
163, Rwanda,86.8,85,84.3,85.7,85.7,85.5,85.4
39, Saudi Arabia,49.8,46.3,47.7,48.7,48.8,49.3,51.8
