HDI Rank,Country,2000,2005,2010,2011,2012,2013,2014
20, Japan,30,66.9,78.2,79.1,86.3,86.3,90.6
80, Jordan,2.6,12.9,27.2,34.9,41,44.2,44
56, Kazakhstan,0.7,3,31.6,50.6,53.3,54,54.9
145, Kenya,0.3,3.1,14,28,32.1,39,43.4
137, Kiribati,1.8,4,9.1,10,10.7,11.5,12.3
.., Korea (Democratic People's Rep. of),0,0,0,0,0,,0
17, Korea (Republic of),44.7,73.5,83.7,83.8,84.1,84.8,84.3
48, Kuwait,6.7,25.9,61.4,65.8,70.5,75.5,78.7
120, Kyrgyzstan,1,10.5,18.4,20,21.7,23.4,28.3
141, Lao People's Democratic Republic,0.1,0.8,7,9,10.7,12.5,14.3
46, Latvia,6.3,46,68.4,69.8,73.1,75.2,75.8
67, Lebanon,8,10.1,43.7,52,61.3,70.5,74.7
161, Lesotho,0.2,2.6,3.9,4.2,4.6,5,11
177, Liberia,0,,2.3,3,3.8,4.6,5.4
94, Libya,0.2,3.9,14,14,,16.5,17.8
13, Liechtenstein,36.5,63.4,80,85,89.4,93.8,95.2
37, Lithuania,6.4,36.2,62.1,63.6,67.2,68.5,72.1
19, Luxembourg,22.9,70,90.6,90,92,93.8,94.7
154, Madagascar,0.2,0.6,1.7,1.9,2.1,2.2,3.7
173, Malawi,0.1,0.4,2.3,3.3,4.4,5.4,5.8
62, Malaysia,21.4,48.6,56.3,61,65.8,67,67.5
104, Maldives,2.2,6.9,26.5,34,38.9,44.1,49.3
179, Mali,0.1,0.5,1.9,2,2.2,2.3,7
37, Malta,13.1,41.2,63,68,68.2,68.9,73.2
.., Marshall Islands,1.5,3.9,7,8.1,10,11.7,16.8
156, Mauritania,0.2,0.7,4,4.5,5.4,6.2,10.7
63, Mauritius,7.3,15.2,28.3,35,35.4,39,41.4
74, Mexico,5.1,17.2,31.1,37.2,39.8,43.5,44.4
123, Micronesia (Federated States of),3.7,11.9,20,22.8,26,27.8,27.8
107, Moldova (Republic of),1.3,14.6,32.3,38,43.4,48.8,46.6
.., Monaco,42.2,55.5,75,80.3,87,90.7,92.4
90, Mongolia,1.3,,10.2,12.5,16.4,17.7,27
49, Montenegro,,27.1,37.5,35.6,56.8,56.8,61
126, Morocco,0.7,15.1,52,46.1,55.4,56,56.8
180, Mozambique,0.1,0.9,4.2,4.3,4.8,5.4,5.9
148, Myanmar,,0.1,0.3,1,1.1,1.2,2.1
126, Namibia,1.6,4,11.6,12,12.9,13.9,14.8
145, Nepal,0.2,0.8,7.9,9,11.1,13.3,15.4
5, Netherlands,44,81,90.7,91.4,92.9,94,93.2
9, New Zealand,47.4,62.7,80.5,81.2,82,82.8,85.5
125, Nicaragua,1,2.6,10,10.6,13.5,15.5,17.6
188, Niger,0,0.2,0.8,1.3,1.4,1.7,1.9
152, Nigeria,0.1,3.5,24,28.4,32.8,38,42.7
1, Norway,52,82,93.4,93.5,94.7,95.1,96.3
52, Oman,3.5,6.7,35.8,48,60,66.5,70.2
147, Pakistan,,6.3,8,9,10,10.9,13.8
113," Palestine, State of",1.1,16,37.4,41.1,43.4,46.6,53.7
60, Panama,6.6,11.5,40.1,42.7,40.3,42.9,44.9
158, Papua New Guinea,0.8,1.7,1.3,2,3.5,6.5,9.4
112, Paraguay,0.7,7.9,19.8,24.8,29.3,36.9,43
84, Peru,3.1,17.1,34.8,36,38.2,39.2,40.2
115, Philippines,2,5.4,25,29,36.2,37,39.7
36, Poland,7.3,38.8,62.3,62,62.3,62.8,66.6
43, Portugal,16.4,35,53.3,55.3,60.3,62.1,64.6
32, Qatar,4.9,24.7,69,69,69.3,85.3,91.5
52, Romania,3.6,21.5,39.9,40,45.9,49.8,54.1
50, Russian Federation,2,15.2,43,49,63.8,61.4,70.5
163, Rwanda,0.1,0.6,8,7,8,8.7,10.6
77, Saint Kitts and Nevis,5.9,34,76,77.6,79.3,80,65.4
89, Saint Lucia,5.1,21.6,43.3,45,34.8,35.2,51
97, Saint Vincent and the Grenadines,3.2,9.2,38.5,43,47.5,52,56.5
105, Samoa,0.6,3.4,7,11,12.9,15.3,21.2
.., San Marino,48.8,50.3,,49.6,50.9,50.8,
143, Sao Tome and Principe,4.6,13.8,18.8,20.2,21.6,23,24.4
39, Saudi Arabia,2.2,12.7,41,47.5,54,60.5,63.7
170, Senegal,0.4,4.8,16,17.5,19.2,20.9,17.7
66, Serbia,,26.3,40.9,42.2,48.1,51.5,53.5
64, Seychelles,7.4,25.4,41,43.2,47.1,50.4,54.3
181, Sierra Leone,0.1,0.2,0.6,0.9,1.3,1.7,2.1
11, Singapore,36,61,71,71,72,73,82
35, Slovakia,9.4,55.2,75.7,74.4,76.7,77.9,80
25, Slovenia,15.1,46.8,70,67.3,68.3,72.7,71.6
156, Solomon Islands,0.5,0.8,5,6,7,8,9
.., Somalia,0,1.1,,1.3,1.4,1.5,1.6
116, South Africa,5.3,7.5,24,34,41,48.9,49
169, South Sudan,,,,,,,15.9
26, Spain,13.6,47.9,65.8,67.6,69.8,71.6,76.2
73, Sri Lanka,0.6,1.8,12,15,18.3,21.9,25.8
167, Sudan,0,1.3,16.7,17.3,21,22.7,24.6
103, Suriname,2.5,6.4,31.6,32,34.7,37.4,40.1
150, Swaziland,0.9,3.7,11,18.1,20.8,24.7,27.1
14, Sweden,45.7,84.8,90,92.8,93.2,94.8,92.5
3, Switzerland,47.1,70.1,83.9,85.2,85.2,86.7,87
134, Syrian Arab Republic,0.2,5.6,20.7,22.5,24.3,26.2,28.1
129, Tajikistan,0,0.3,11.6,13,14.5,16,17.5
151, Tanzania (United Republic of),0.1,1.1,2.9,3.5,4,4.4,4.9
93, Thailand,3.7,15,22.4,23.7,26.5,28.9,34.9
81, The former Yugoslav Republic of Macedonia,2.5,26.4,51.9,56.7,57.5,61.2,68.1
133, Timor-Leste,,0.1,0.2,0.9,0.9,1.1,1.1
162, Togo,0.8,1.8,3,3.5,4,4.5,5.7
100, Tonga,2.4,4.9,16,25,34.9,35,40
64, Trinidad and Tobago,7.7,29,48.5,55.2,59.5,63.8,65.1
96, Tunisia,2.8,9.7,36.8,39.1,41.4,43.8,46.2
72, Turkey,3.8,15.5,39.8,43.1,45.1,46.3,51
109, Turkmenistan,0.1,1,3,5,7.2,9.6,12.2
.., Tuvalu,5.2,,25,30,35,37,
163, Uganda,0.2,1.7,12.5,13,14.7,16.2,17.7
81, Ukraine,0.7,3.8,23.3,28.7,35.3,41.8,43.4
41, United Arab Emirates,23.6,40,68,78,85,88,90.4
14, United Kingdom,26.8,70,85,85.4,87.5,89.8,91.6
8, United States,43.1,68,71.7,69.7,79.3,84.2,87.4
52, Uruguay,10.5,20.1,46.4,51.4,54.5,58.1,61.5
114, Uzbekistan,0.5,3.3,20,30.2,36.5,38.2,43.5
134, Vanuatu,2.1,5.1,8,9.2,10.6,11.3,18.8
71, Venezuela (Bolivarian Republic of),3.4,12.6,37.4,40.2,49,54.9,57
116, Viet Nam,0.3,12.7,30.6,35.1,39.5,43.9,48.3
160, Yemen,0.1,1,12.3,14.9,17.4,20,22.6
139, Zambia,0.2,2.9,10,11.5,13.5,15.4,17.3
155, Zimbabwe,0.4,8,11.5,15.7,17.1,18.5,19.9
