HDI Rank,Country,1990,1995,2000,2005,2010,2013
97, Saint Vincent and the Grenadines,48,72,75,55,48,45
105, Samoa,150,110,89,73,100,58
143, Sao Tome and Principe,410,360,300,260,70,210
39, Saudi Arabia,41,31,24,19,24,16
170, Senegal,530,510,480,420,370,320
66, Serbia,18,20,7,8,12,16
181, Sierra Leone,2300,2400,2200,1600,890,1100
11, Singapore,8,8,19,10,3,6
35, Slovakia,15,10,12,6,6,7
25, Slovenia,11,11,12,15,12,7
156, Solomon Islands,320,250,210,170,93,130
.., Somalia,1300,1300,1200,1100,,850
116, South Africa,150,140,150,160,300,140
169, South Sudan,1800,1500,1200,1000,,730
26, Spain,7,4,5,6,6,4
73, Sri Lanka,49,71,55,41,35,29
167, Sudan,720,640,540,460,730,360
103, Suriname,84,39,120,110,130,130
150, Swaziland,550,480,520,480,320,310
14, Sweden,6,5,5,4,4,4
3, Switzerland,8,8,7,8,8,6
134, Syrian Arab Republic,130,94,75,58,70,49
129, Tajikistan,68,120,89,59,65,44
151, Tanzania (United Republic of),910,890,770,610,460,410
93, Thailand,42,37,40,34,48,26
81, The former Yugoslav Republic of Macedonia,15,13,15,14,10,7
133, Timor-Leste,1200,1000,680,500,300,270
162, Togo,660,660,580,510,300,450
100, Tonga,71,89,91,100,110,120
64, Trinidad and Tobago,89,91,59,58,46,84
96, Tunisia,91,81,65,55,56,46
72, Turkey,48,39,33,27,20,20
109, Turkmenistan,66,79,81,76,67,61
163, Uganda,780,740,650,510,310,360
81, Ukraine,49,45,35,25,32,23
41, United Arab Emirates,16,13,11,8,12,8
14, United Kingdom,10,11,11,12,12,8
8, United States,12,11,13,17,21,28
52, Uruguay,42,34,35,32,29,14
114, Uzbekistan,66,54,48,44,28,36
134, Vanuatu,170,140,120,100,110,86
71, Venezuela (Bolivarian Republic of),93,98,91,94,92,110
116, Viet Nam,140,110,82,60,59,49
160, Yemen,460,420,370,330,200,270
139, Zambia,580,630,610,430,440,280
155, Zimbabwe,520,550,680,740,570,470
