22, France,28.6,20.1,13.7,11,9.8,10.8,10,5.7,5.7 i,5.7
110, Gabon,166,170.5,166.2,155.5,142,126.7,115,103,103.0 i,103
175, Gambia,212.6,201.3,179.2,153.2,133.6,117.2,110.9,115.8,115.8 i,115.8
76, Georgia,80.4,76.3,76.1,68.9,60.5,48.5,50.9,46.8,46.8 i,46.8
6, Germany,29.6,22.5,17,15.9,13.1,12.4,9.8,3.8,3.8 i,3.8
140, Ghana,136.4,128.3,118,104,87.5,77,67.6,58.4,58.4 i,58.4
29, Greece,49.5,44.8,29.1,17.3,11.6,10.5,11.7,11.9,11.9 i,11.9
79, Grenada,101.6,100.6,99.2,83.5,61.5,51.2,42.4,35.4,35.4 i,35.4
128, Guatemala,140.1,138.5,131.4,127.6,121.1,115.4,107.2,97.2,97.2 i,97.2
182, Guinea,177.7,179.3,181.5,180.2,173.7,164.2,154,131,131.0 i,131
178, Guinea-Bissau,106.8,122.5,132.1,139.1,134.4,128.7,123.5,99.3,99.3 i,99.3
124, Guyana,108.4,80.7,63.4,71.5,76.8,90,101,88.5,88.5 i,88.5
163, Haiti,73.3,86.1,78.3,69.9,61.8,52.5,46.4,42,42.0 i,42
131, Honduras,146.2,140,133.5,126.5,114.6,102.5,93.1,84,84.0 i,84
12," Hong Kong, China (SAR)",15,10,6,7,5,3.8,3.1,3.3,3.3 i,3.3
44, Hungary,70.1,59,46.6,36.5,25.6,21,19.6,12.1,12.1 i,12.1
16, Iceland,58,43.9,30.9,25.5,23.5,17.2,14.3,11.5,11.5 i,11.5
130, India,115,113.3,112.9,104.1,88.8,72.2,50.6,32.8,32.8 i,32.8
110, Indonesia,117.2,96.3,72.9,63.1,47.8,51,51.5,48.3,48.3 i,48.3
69, Iran (Islamic Republic of),141.9,141,111.6,75.4,48.3,33.6,31.5,31.6,31.6 i,31.6
121, Iraq,99.4,83.7,75.1,67.5,64.8,66.9,74.1,68.7,68.7 i,68.7
6, Ireland,22,19,15,16,19,19,16.5,8.2,8.2 i,8.2
18, Israel,40.4,31.3,21.9,19.3,17.7,16.1,14,7.8,7.8 i,7.8
27, Italy,26.8,16.8,10.3,8,7,7,6.8,4,4.0 i,4
99, Jamaica,145.6,129.2,112.8,103.4,93.5,85.4,77.3,70.1,70.1 i,70.1
20, Japan,3.8,4.2,4,4,4.4,5.8,5.1,5.4,5.4 i,5.4
80, Jordan,80.7,68,56.8,49,40.6,33.1,29.4,26.5,26.5 i,26.5
56, Kazakhstan,34.4,38.2,46.2,53.7,42.1,29.1,28.1,29.9,29.9 i,29.9
145, Kenya,172.7,163.1,147.8,113.5,105.7,104.2,100.2,93.6,93.6 i,93.6
137, Kiribati,55,53,48.3,45.9,41.6,30.1,22.2,16.6,16.6 i,16.6
.., Korea (Democratic People's Rep. of),4.5,5.2,3.2,1.8,1.2,1,0.6,0.6,0.6 i,0.6
17, Korea (Republic of),14.8,12.3,6.5,4.2,3,2.2,2.1,2.2,2.2 i,2.2
48, Kuwait,96.6,67.6,32,17.9,26.6,19.5,15.1,14.5,14.5 i,14.5
120, Kyrgyzstan,38.9,42.3,49.9,68.3,63.1,34.4,29.8,29.3,29.3 i,29.3
141, Lao People's Democratic Republic,107.9,111.6,110,104.9,86.6,71.4,75.1,65,65.0 i,65
46, Latvia,36.5,40.4,44.9,43.5,21.9,17.3,18.2,13.5,13.5 i,13.5
67, Lebanon,62.9,60.5,51,39,28.3,19.3,12.5,12,12.0 i,12
161, Lesotho,80.6,77.4,77.7,86.3,94,89.6,90,89.4,89.4 i,89.4
177, Liberia,204.6,196.8,182.1,161.4,152.1,147.4,142,117.4,117.4 i,117.4
94, Libya,17.1,14.4,11,8.5,4.8,3.7,3.1,2.5,2.5 i,2.5
37, Lithuania,25.4,20.5,30.2,44.9,31.8,21.1,18.9,10.6,10.6 i,10.6
19, Luxembourg,19.3,14.1,11.4,12.5,10.2,11.7,9.6,8.3,8.3 i,8.3
154, Madagascar,160,142.6,150.7,150.2,155.1,149.5,134.3,122.8,122.8 i,122.8
173, Malawi,165.1,202,148,161.7,167,157.4,157.2,144.8,144.8 i,144.8
