88, Ecuador,7.9,9,10.1,11.3,12.5,13.8,15,15.2,15.5,15.7 m,16.0 m
108, Egypt,44.9,50.3,56.3,61.2,66.1,71.8,78.1,79.4,80.7,82.1 m,83.4 m
116, El Salvador,4.7,5,5.3,5.7,6,6.1,6.2,6.3,6.3,6.3 m,6.4 m
138, Equatorial Guinea,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.7,0.8 m,0.8 m
186, Eritrea,2.4,2.8,3.3,3.4,3.9,4.9,5.7,5.9,6.1,6.3 m,6.5 m
30, Estonia,1.5,1.5,1.6,1.4,1.4,1.3,1.3,1.3,1.3,1.3 m,1.3 m
174, Ethiopia,35.2,40.8,48,57,66,76.2,87.1,89.4,91.7,94.1 m,96.5 m
90, Fiji,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.9 m,0.9 m
24, Finland,4.8,4.9,5,5.1,5.2,5.2,5.4,5.4,5.4,5.4 m,5.4 m
22, France,53.9,55.4,56.8,58,59.2,61.4,63.2,63.6,63.9,64.3 m,64.6 m
110, Gabon,0.7,0.8,0.9,1.1,1.2,1.4,1.6,1.6,1.6,1.7 m,1.7 m
175, Gambia,0.6,0.7,0.9,1.1,1.2,1.4,1.7,1.7,1.8,1.8 m,1.9 m
76, Georgia,5.1,5.3,5.5,5.1,4.7,4.5,4.4,4.4,4.4,4.3 m,4.3 m
6, Germany,79.2,78.9,80.5,83.1,83.5,83.8,83,82.9,82.8,82.7 m,82.7 m
140, Ghana,10.8,12.7,14.6,16.8,18.8,21.4,24.3,24.8,25.4,25.9 m,26.4 m
29, Greece,9.6,9.9,10.2,10.7,11,11,11.1,11.1,11.1,11.1 m,11.1 m
79, Grenada,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1 m,0.1 m
128, Guatemala,7,7.9,8.9,10,11.2,12.7,14.3,14.7,15.1,15.5 m,15.9 m
182, Guinea,4.5,5.1,6,7.8,8.7,9.6,10.9,11.2,11.5,11.7 m,12.0 m
178, Guinea-Bissau,0.8,0.9,1,1.1,1.3,1.4,1.6,1.6,1.7,1.7 m,1.7 m
124, Guyana,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8 m,0.8 m
163, Haiti,5.7,6.4,7.1,7.8,8.6,9.3,9.9,10,10.2,10.3 m,10.5 m
131, Honduras,3.6,4.2,4.9,5.6,6.2,6.9,7.6,7.8,7.9,8.1 m,8.3 m
12," Hong Kong, China (SAR)",5.1,5.4,5.8,6.1,6.8,6.9,7,7.1,7.1,7.2 m,7.3 m
