HDI Rank,Country,1980,1985,1990,1995,2000,2005,2010,2011,2012
56, Kazakhstan,,,97,97.3,97.3,98.7,98.9,98.9,
145, Kenya,20.4,17.8,17.9,15.7,18.2,15.5,20,19.7,
137, Kiribati,,,0,,,0,,,
.., Korea (Democratic People's Rep. of),94.2,94.5,93.1,89.9,90.5,89.8,88.2,88.4,
17, Korea (Republic of),97.4,91.3,83.8,87.1,84,80.6,82.9,82.8,82.8
48, Kuwait,100,100,99.9,100,100,100,,,
120, Kyrgyzstan,,,93.5,64.7,62.8,65.1,70.8,68.4,
46, Latvia,,,81.8,66.4,63.4,63.2,63.9,63.7,
67, Lebanon,92.5,93.1,92.5,95.3,94.1,94.4,95,95.5,
161, Lesotho,,,,,,0,,,
94, Libya,98.2,98.7,98.9,99.1,99.1,99.1,99.2,98.7,
37, Lithuania,,,75.7,60,58.7,59.9,74.5,74,
19, Luxembourg,92.3,89.1,89.2,84.9,83.4,91.1,87.9,87,87.4
62, Malaysia,83.6,84.5,87.4,90.6,92.6,94.6,94.6,94.5,
104, Maldives,,,0,,,0,,,
37, Malta,100,100,99.9,99.9,99.9,99.9,99.8,94.5,
.., Marshall Islands,,,,,,0,,,
63, Mauritius,,,0,,,0,,,
74, Mexico,90.4,90,87.2,86,86.8,88.1,89.4,89.3,90.1
107, Moldova (Republic of),,,,94.7,91.5,89.2,92.9,94.9,
90, Mongolia,,97.1,97.2,95.7,93.9,93.1,95.2,95.4,
49, Montenegro,,,,,,47.6,60.5,60.2,
126, Morocco,92,93.9,93.8,94.5,93.1,95.3,92.8,93.6,
180, Mozambique,11.1,7.3,5.5,5.7,6.7,6,8.6,9.5,
148, Myanmar,18.9,19.9,14.6,21.4,27.2,29.6,21.6,21.3,
126, Namibia,,,,65.9,60.6,63.9,67.1,66,
145, Nepal,3.5,3.5,5.1,8.6,12,10.6,12.7,12.5,
5, Netherlands,98,97.5,95.9,95.4,93.9,93,93.8,92.3,91.4
9, New Zealand,64.8,71.4,66.9,67.9,69.4,68.1,60.9,59.4,61.4
125, Nicaragua,40.8,32.2,29.3,37.3,45.9,48.3,48.1,49.8,
152, Nigeria,17.7,18.9,19.3,15.9,17.7,20.8,17.2,17.4,
1, Norway,57.8,52.1,51.9,52.9,54.2,54.8,61.2,57.1,57.3
52, Oman,100,100,,100,,,,,
147, Pakistan,40.3,46.3,52.6,55.8,59.4,61.1,61.5,60.9,
60, Palau,,,0,,,,,,
60, Panama,62.7,61.1,58.4,69.1,70.2,73.4,77.2,79.7,
112, Paraguay,22.8,21.6,21.3,29.5,28.2,29,32.7,33.8,
84, Peru,64.1,59.1,63.3,68.6,69.9,71.6,74.7,76,
115, Philippines,48.7,35.2,42.9,55.3,52.9,57.7,60.2,59.7,
36, Poland,98.9,98.6,97.8,95.5,95.8,95.7,92.2,91.8,90.7
43, Portugal,84.3,81.4,80.4,83.2,84.1,84.1,75.2,76.1,74.9
32, Qatar,100,,,100,100,,,100,
52, Romania,96.8,96,96.1,93.2,84.8,83.9,75.1,77.7,
50, Russian Federation,,,93.4,92.3,91.1,90.7,90.7,91,
77, Saint Kitts and Nevis,,,0,,,0,,,
89, Saint Lucia,,,0,,,0,,,
